Theta(deg),Phi(deg),rEPhi_Real,rEPhi_Imag,rETheta_Real,rETheta_Imag,rETotal,RealizedGain,RealizedGain_Total,RealizedGain_dB,RealizedGain_Theta,RealizedGain_Phi,Gain,Gain_Total,Gain_dB,Gain_Theta,Gain_Phi,Directivity,Directivity_Total,Directivity_dB,Directivity_Theta,Directivity_Phi
45.0,5.0,-0.04215390161116155,0.003136294794667486,0.08805753536963076,-0.04942538856526037,0.10947048157509535,0.01997250669297471,0.01997250669297471,-16.995674246331717,0.016994597239686087,0.0029779094532886197,1.9021434945690199,1.9021434945690199,2.792432762968903,1.618533070446294,0.2836104241227257,2.1247347545717776,2.1247347545717776,3.273047217671297,1.8079358765623497,0.31679887800942763
45.0,10.0,-0.04840556556046969,0.0032935023318661476,0.08432165872287832,-0.04969177174462454,0.10923992055899878,0.019888465185338284,0.019888465185338284,-17.013987305637144,0.015965314386485463,0.003923150798852819,1.894139541460789,1.894139541460789,2.774119703663472,1.5205061320462347,0.3736334094145542,2.115794168653009,2.115794168653009,3.2547341583658667,1.6984377006899432,0.41735646796306586
45.0,15.0,-0.05421793161088025,0.0034340803632338223,0.08003568239858133,-0.05008178026317526,0.10892783017869577,0.019774987764934204,0.019774987764934204,-17.038837765343672,0.01485614195498,0.004918845809954213,1.883332168088972,1.883332168088972,2.7492692439569497,1.4148706623790475,0.468461505709925,2.103722102652575,2.103722102652575,3.229883698659344,1.5804406335085106,0.5232814691440651
45.0,20.0,-0.059522269723726394,0.0035594593176095073,0.075248085604613,-0.050589824700204636,0.10852269391262986,0.01962816273502484,0.01962816273502484,-17.071203499865003,0.013702351768933292,0.005925810966091563,1.8693488319071276,1.8693488319071276,2.716903509435618,1.3049858827555514,0.5643629491515774,2.0881024186196644,2.0881024186196644,3.197517964138013,1.4576969966950308,0.6304054219246344
45.0,25.0,-0.06426471092080012,0.00367541889616374,0.07001344748553158,-0.051209561657082986,0.1080174236302466,0.019445814887077955,0.019445814887077955,-17.111738527970036,0.012540207953927537,0.006905606933150417,1.8519823701979006,1.8519823701979006,2.6763684813305835,1.1943055194216703,0.6576768507762302,2.0687037113912723,2.0687037113912723,3.1569829360329784,1.334064675949738,0.7346390354415339
45.0,30.0,-0.06840827763894243,0.003793166295051085,0.06439026453119209,-0.051933162858172385,0.10741154561274543,0.01922828055066108,0.01922828055066108,-17.160595499137294,0.01140499726001387,0.007823283290647213,1.831264814348674,1.831264814348674,2.627511510163326,1.086190215239416,0.7450745991092583,2.0455617607086256,2.0455617607086256,3.108125964865721,1.2132975808525392,0.8322641798560865
45.0,35.0,-0.07193343700096451,0.00392974088149455,0.05843878077551744,-0.05275031621170368,0.10671246028993585,0.018978801511848296,0.018978801511848296,-17.217312162093023,0.010329234917522368,0.008649566594325923,1.8075049058903139,1.8075049058903139,2.5707948472075968,0.9837366588116543,0.8237682470786593,2.01902143743067,2.01902143743067,3.0514093019099913,1.0988547784598266,0.9201666589708428
45.0,40.0,-0.07483726302710093,0.004107640745984039,0.0522189603340982,-0.05364705605041463,0.10593542887597145,0.018703417849646017,0.018703417849646017,-17.28079023537932,0.0093411573328797,0.00936226051676632,1.781277890442478,1.781277890442478,2.507316773921297,0.8896340317028286,0.8916438587396494,1.9897253031538318,1.9897253031538318,2.9879312286236908,0.9937401417957129,0.9959851613581191
45.0,45.0,-0.07713142109079371,0.004353626337881122,0.04578866178577495,-0.05460456353850679,0.10510218879327937,0.018410349750735158,0.018410349750735158,-17.349379609054637,0.008463567118297564,0.009946782632437593,1.7533666429271577,1.7533666429271577,2.4387274002459804,0.8060540112664347,0.9473126316607232,1.958547845822889,1.958547845822889,2.9193418549483754,0.9003794806699538,1.0581683651529354
45.0,50.0,-0.07883925561708555,0.004696734255452572,0.03920203433140396,-0.05559812076445742,0.10423837137629437,0.018108970147705784,0.018108970147705784,-17.421062471948353,0.007713069167510813,0.010395900980194968,1.724663823591027,1.724663823591027,2.367044537352265,0.7345780159534107,0.990085807637616,1.9264861859261473,1.9264861859261473,2.8476589920546598,0.8205392731394481,1.1059469127866988
45.0,55.0,-0.07999227931010029,0.005165625995304303,0.03250816058415186,-0.05659642788966084,0.10337013396326353,0.017808554772554504,0.017808554772554504,-17.49371323645806,0.007099726327603843,0.010708828444950661,1.6960528354813815,1.6960528354813815,2.2943937728425596,0.676164412152747,1.0198884233286345,1.8945271034632454,1.8945271034632454,2.775008227544954,0.7552900348514728,1.1392370686117725
