Phi[deg],Theta[deg],dB(GainTotal),Array_Data
24,-172,-0.736262,
26,-172,-1.7651,
28,-172,-3.00021,
30,-172,-4.49914,
32,-172,-6.35045,
34,-172,-8.69152,
36,-172,-11.6955,
38,-172,-15.1143,
40,-172,-15.9666,
42,-172,-12.8854,
44,-172,-9.62172,
46,-172,-7.03813,
48,-172,-4.99403,
50,-172,-3.33156,
52,-172,-1.9473,
54,-172,-0.775793,
56,-172,0.225437,
58,-172,1.08507,
60,-172,1.8234,
62,-172,2.45564,
64,-172,2.99402,
66,-172,3.44898,
68,-172,3.8301,
70,-172,4.14643,
72,-172,4.40681,
74,-172,4.61978,
76,-172,4.79347,
78,-172,4.93531,
80,-172,5.05163,
82,-172,5.14737,
84,-172,5.2257,
86,-172,5.28794,
88,-172,5.33348,
90,-172,5.35996,
92,-172,5.36351,
94,-172,5.33903,
96,-172,5.28052,
98,-172,5.18129,
100,-172,5.03414,
102,-172,4.83142,
104,-172,4.56514,
106,-172,4.22685,
108,-172,3.80765,
110,-172,3.2981,
112,-172,2.68815,
114,-172,1.96704,
116,-172,1.12338,
118,-172,0.145215,
120,-172,-0.979473,
122,-172,-2.26159,
124,-172,-3.70818,
126,-172,-5.31599,
128,-172,-7.05719,
130,-172,-8.84927,
132,-172,-10.5043,
134,-172,-11.6974,
136,-172,-12.0921,
138,-172,-11.6271,
140,-172,-10.5499,
142,-172,-9.15601,
144,-172,-7.64436,
146,-172,-6.12953,
148,-172,-4.67717,
150,-172,-3.32449,
152,-172,-2.09073,
154,-172,-0.983479,
156,-172,-0.00308905,
158,-172,0.854408,
160,-172,1.59534,
162,-172,2.22715,
164,-172,2.75769,
166,-172,3.19473,
168,-172,3.54568,
170,-172,3.81746,
172,-172,4.01635,
174,-172,4.14789,
176,-172,4.21686,
178,-172,4.22718,
180,-172,4.18184,
-180,-170,-1.68799,
-178,-170,-1.60688,
-176,-170,-1.59123,
-174,-170,-1.63916,
-172,-170,-1.7439,
-170,-170,-1.8946,
-168,-170,-2.07768,
-166,-170,-2.27876,
-164,-170,-2.48506,
-162,-170,-2.68788,
-160,-170,-2.8843,
-158,-170,-3.07771,
-156,-170,-3.27685,
-154,-170,-3.49425,
-152,-170,-3.74465,
-150,-170,-4.04436,
-148,-170,-4.4118,
-146,-170,-4.86927,
-144,-170,-5.44553,
-142,-170,-6.1791,
-140,-170,-7.12195,
-138,-170,-8.3428,
-136,-170,-9.92353,
-134,-170,-11.9118,
-132,-170,-14.0497,
-130,-170,-15.019,
-128,-170,-13.5442,
-126,-170,-11.0502,
-124,-170,-8.79061,
-122,-170,-7.00506,
-120,-170,-5.66082,
-118,-170,-4.69669,
-116,-170,-4.06377,
-114,-170,-3.72726,
-112,-170,-3.66234,
-110,-170,-3.8495,
-108,-170,-4.26938,
-106,-170,-4.89564,
-104,-170,-5.68425,
-102,-170,-6.55912,
-100,-170,-7.40098,
-98,-170,-8.06222,
-96,-170,-8.42895,
-94,-170,-8.49266,
-92,-170,-8.34482,
-90,-170,-8.09762,
-88,-170,-7.81913,
-86,-170,-7.51932,
-84,-170,-7.16877,
-82,-170,-6.73123,
-80,-170,-6.19583,
-78,-170,-5.59165,
-76,-170,-4.97789,
-74,-170,-4.42201,
-72,-170,-3.98322,
-70,-170,-3.70648,
-68,-170,-3.62357,
-66,-170,-3.75594,
-64,-170,-4.11611,
-62,-170,-4.7052,
-60,-170,-5.5037,
-58,-170,-6.45131,
-56,-170,-7.41693,
-54,-170,-8.18935,
-52,-170,-8.56365,
-50,-170,-8.51174,
-48,-170,-8.21568,
-46,-170,-7.90958,
-44,-170,-7.75765,
-42,-170,-7.8429,
-40,-170,-8.19156,
-38,-170,-8.78591,
-36,-170,-9.55574,
-34,-170,-10.3555,
-32,-170,-10.9654,
-30,-170,-11.1899,
-28,-170,-11.0172,
-26,-170,-10.6263,
-24,-170,-10.2276,
-22,-170,-9.95498,
-20,-170,-9.85762,
-18,-170,-9.91999,
-16,-170,-10.0736,
-14,-170,-10.2047,
-12,-170,-10.1808,
-10,-170,-9.90977,
-8,-170,-9.39351,
-6,-170,-8.71719,
-4,-170,-7.98741,
-2,-170,-7.28449,
0,-170,-6.65096,
2,-170,-6.09968,
4,-170,-5.62547,
6,-170,-5.21467,
8,-170,-4.85227,
10,-170,-4.52689,
12,-170,-4.23373,
14,-170,-3.97523,
16,-170,-3.7599,
18,-170,-3.59993,
20,-170,-3.50874,
22,-170,-3.49925,
24,-170,-3.58305,
26,-170,-3.77068,
28,-170,-4.07297,
30,-170,-4.50332,
32,-170,-5.08116,
34,-170,-5.83684,
36,-170,-6.81845,
38,-170,-8.10191,
40,-170,-9.80419,
42,-170,-12.0832,
44,-170,-14.9419,
46,-170,-16.7995,
48,-170,-14.7066,
50,-170,-11.2738,
52,-170,-8.42029,
54,-170,-6.22583,
56,-170,-4.54962,
58,-170,-3.28356,
60,-170,-2.35798,
62,-170,-1.72863,
64,-170,-1.36739,
66,-170,-1.25662,
68,-170,-1.38549,
70,-170,-1.74735,
72,-170,-2.33671,
74,-170,-3.14481,
76,-170,-4.15117,
78,-170,-5.30836,
80,-170,-6.51814,
82,-170,-7.61284,
84,-170,-8.38916,
86,-170,-8.73003,
88,-170,-8.70012,
90,-170,-8.47119,
92,-170,-8.18376,
94,-170,-7.8906,
96,-170,-7.57113,
98,-170,-7.17112,
100,-170,-6.64893,
102,-170,-6.00973,
104,-170,-5.3073,
106,-170,-4.61813,
108,-170,-4.0141,
110,-170,-3.5496,
112,-170,-3.26106,
114,-170,-3.17118,
116,-170,-3.29291,
118,-170,-3.63111,
120,-170,-4.18104,
122,-170,-4.92237,
124,-170,-5.80776,
126,-170,-6.74827,
128,-170,-7.6096,
130,-170,-8.24969,
132,-170,-8.60211,
134,-170,-8.72658,
136,-170,-8.75661,
138,-170,-8.80752,
140,-170,-8.9252,
142,-170,-9.07483,
144,-170,-9.15118,
146,-170,-9.02152,
148,-170,-8.60774,
150,-170,-7.94575,
152,-170,-7.15331,
154,-170,-6.35152,
156,-170,-5.61986,
158,-170,-4.99343,
160,-170,-4.47579,
162,-170,-4.05162,
164,-170,-3.69638,
166,-170,-3.3838,
168,-170,-3.09203,
170,-170,-2.80827,
172,-170,-2.53048,
174,-170,-2.26606,
176,-170,-2.02811,
178,-170,-1.83122,
180,-170,-1.68799,
-180,-168,1.49084,
-178,-168,1.53452,
-176,-168,1.40645,
-174,-168,1.11097,
-172,-168,0.650407,
-170,-168,0.0266526,
-168,-168,-0.755516,
-166,-168,-1.68201,
-164,-168,-2.71719,
-162,-168,-3.78386,
-160,-168,-4.74248,
-158,-168,-5.40365,
-156,-168,-5.62028,
-154,-168,-5.40451,
-152,-168,-4.9147,
-150,-168,-4.33278,
-148,-168,-3.78638,
-146,-168,-3.34628,
-144,-168,-3.04918,
-142,-168,-2.91668,
-140,-168,-2.96573,
-138,-168,-3.21248,
-136,-168,-3.67108,
-134,-168,-4.3471,
-132,-168,-5.22191,
-130,-168,-6.22264,
-128,-168,-7.18292,
-126,-168,-7.85284,
-124,-168,-8.05862,
-122,-168,-7.89667,
-120,-168,-7.66135,
-118,-168,-7.63618,
-116,-168,-8.02467,
-114,-168,-8.98866,
-112,-168,-10.6778,
-110,-168,-13.0231,
-108,-168,-14.3488,
-106,-168,-12.0649,
-104,-168,-8.6805,
-102,-168,-5.91469,
-100,-168,-3.84495,
-98,-168,-2.33732,
-96,-168,-1.28707,
-94,-168,-0.629014,
-92,-168,-0.327676,
-90,-168,-0.37061,
-88,-168,-0.765862,
-86,-168,-1.54234,
